Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Digestores,2096-03-03,2096-03-04 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,24,26
Digestores,2096-05-02,2096-05-02 03:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,4,3
Tamices o Cribas,2096-06-01,2096-06-01 23:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,24,23
Tamices o Cribas,2096-07-01,2096-07-03 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,48,50
Digestores,2096-08-30,2096-08-30 09:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,8,9
Bombas,2096-10-09,2096-10-09 11:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,12,11
Bombas,2096-11-18,2096-11-21 02:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Mantenimiento insuficiente,72,74
Bombas,2096-12-28,2096-12-28 05:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,4,5
Tamices o Cribas,2097-01-27,2097-01-27 04:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,4,4
Bombas,2097-03-08,2097-03-11 01:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,72,73
Prensas,2097-04-12,2097-04-12 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,12,11
Refinadores,2097-06-01,2097-06-01 12:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,12,12
Prensas,2097-07-06,2097-07-07 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,48,47
Tamices o Cribas,2097-08-05,2097-08-05 14:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,12,14
Lavadoras de Pulpa,2097-09-19,2097-09-20 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,48,47
Refinadores,2097-11-08,2097-11-09 22:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,48,46
Tamices o Cribas,2097-12-08,2097-12-11 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,72,73
Bombas,2098-01-17,2098-01-17 14:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,12,14
Prensas,2098-02-21,2098-02-23 22:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,72,70
Lavadoras de Pulpa,2098-04-07,2098-04-08 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,48,46
Refinadores,2098-05-27,2098-05-27 13:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,12,13
Tamices o Cribas,2098-06-26,2098-06-28 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,48,50
Refinadores,2098-08-15,2098-08-17 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,48,50
Refinadores,2098-10-04,2098-10-04 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,12,10
Digestores,2098-12-03,2098-12-04 01:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Corrosión,24,25
Bombas,2099-01-12,2099-01-12 04:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,6,4
Prensas,2099-02-16,2099-02-16 13:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,12,13
Lavadoras de Pulpa,2099-04-02,2099-04-04 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,48,49
Digestores,2099-06-01,2099-06-01 08:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,6,8
Lavadoras de Pulpa,2099-07-16,2099-07-16 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,24,23
Tamices o Cribas,2099-08-15,2099-08-15 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,4,2
Tamices o Cribas,2099-09-14,2099-09-14 11:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,12,11
Refinadores,2099-11-03,2099-11-06 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,72,72
Bombas,2099-12-13,2099-12-16 01:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Condiciones operativas extremas,72,73
Prensas,2100-01-17,2100-01-17 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,6,7
Digestores,2100-03-18,2100-03-19 23:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,48,47
Prensas,2100-04-22,2100-04-23 23:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,48,47
Bombas,2100-06-01,2100-06-03 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,48,48
Refinadores,2100-07-21,2100-07-21 06:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,4,6
Tamices o Cribas,2100-08-20,2100-08-20 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,8,7
Tamices o Cribas,2100-09-19,2100-09-21 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,48,49
Lavadoras de Pulpa,2100-11-03,2100-11-03 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,6,4
Lavadoras de Pulpa,2100-12-18,2100-12-18 22:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,24,22
Refinadores,2101-02-06,2101-02-07 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,48,46
Bombas,2101-03-18,2101-03-20 02:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,48,50
Refinadores,2101-05-07,2101-05-07 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,8,6
Bombas,2101-06-16,2101-06-17 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,24,26
Lavadoras de Pulpa,2101-07-31,2101-07-31 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,24,23
Refinadores,2101-09-19,2101-09-22 01:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,72,73
Prensas,2101-10-24,2101-10-24 13:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,12,13
Prensas,2101-11-28,2101-11-30 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,48,49
Lavadoras de Pulpa,2102-01-12,2102-01-12 14:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,12,14
Tamices o Cribas,2102-02-11,2102-02-11 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,6,7
Tamices o Cribas,2102-03-13,2102-03-13 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,8,10
Tamices o Cribas,2102-04-12,2102-04-12 04:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,6,4
Lavadoras de Pulpa,2102-05-27,2102-05-27 07:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,8,7
Prensas,2102-07-01,2102-07-03 22:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,72,70
Tamices o Cribas,2102-07-31,2102-07-31 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,8,10
Digestores,2102-09-29,2102-10-01 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Desgaste natural,48,48
Refinadores,2102-11-18,2102-11-18 13:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,12,13
Digestores,2103-01-17,2103-01-20 01:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,72,73
Refinadores,2103-03-08,2103-03-08 13:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Mantenimiento insuficiente,12,13
Refinadores,2103-04-27,2103-04-29 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,72,71
Prensas,2103-06-01,2103-06-04 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,72,74
Tamices o Cribas,2103-07-01,2103-07-01 09:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,8,9
Bombas,2103-08-10,2103-08-13 02:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,72,74
Prensas,2103-09-14,2103-09-14 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,24,23
Bombas,2103-10-24,2103-10-25 02:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Desgaste natural,24,26
Lavadoras de Pulpa,2103-12-08,2103-12-08 08:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,6,8
Digestores,2104-02-06,2104-02-06 23:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,24,23
Lavadoras de Pulpa,2104-03-22,2104-03-23 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,24,26
Lavadoras de Pulpa,2104-05-06,2104-05-07 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,24,25
Digestores,2104-07-05,2104-07-05 05:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,4,5
Tamices o Cribas,2104-08-04,2104-08-05 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,24,25
Prensas,2104-09-08,2104-09-10 01:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,48,49
Lavadoras de Pulpa,2104-10-23,2104-10-23 11:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Error humano,12,11
Tamices o Cribas,2104-11-22,2104-11-23 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,24,25
Prensas,2104-12-27,2104-12-27 08:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,6,8
Lavadoras de Pulpa,2105-02-10,2105-02-10 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,4,2
Digestores,2105-04-11,2105-04-11 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,4,2
Lavadoras de Pulpa,2105-05-26,2105-05-26 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,24,22
Lavadoras de Pulpa,2105-07-10,2105-07-10 07:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,6,7
Prensas,2105-08-14,2105-08-14 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,8,7
Tamices o Cribas,2105-09-13,2105-09-13 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,4,2
Refinadores,2105-11-02,2105-11-03 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,24,24
Prensas,2105-12-07,2105-12-07 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,12,10
Prensas,2106-01-11,2106-01-11 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,24,22
Tamices o Cribas,2106-02-10,2106-02-11 00:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,24,24
Tamices o Cribas,2106-03-12,2106-03-12 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,4,6
Refinadores,2106-05-01,2106-05-01 07:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,6,7
Tamices o Cribas,2106-05-31,2106-06-03 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,72,72
Tamices o Cribas,2106-06-30,2106-06-30 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,8,8
Lavadoras de Pulpa,2106-08-14,2106-08-14 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,24,23
Bombas,2106-09-23,2106-09-23 10:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,12,10
Digestores,2106-11-22,2106-11-22 05:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,6,5
Tamices o Cribas,2106-12-22,2106-12-22 13:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,12,13
Bombas,2107-01-31,2107-01-31 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,4,2
Lavadoras de Pulpa,2107-03-17,2107-03-18 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,48,47
Lavadoras de Pulpa,2107-05-01,2107-05-01 13:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,12,13
Tamices o Cribas,2107-05-31,2107-05-31 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,6,8
Prensas,2107-07-05,2107-07-08 01:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,72,73
Lavadoras de Pulpa,2107-08-19,2107-08-19 04:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,6,4
Lavadoras de Pulpa,2107-10-03,2107-10-03 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,4,2
Tamices o Cribas,2107-11-02,2107-11-02 11:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,12,11
Digestores,2108-01-01,2108-01-03 01:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,48,49
Bombas,2108-02-10,2108-02-10 12:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,12,12
Bombas,2108-03-21,2108-03-22 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Fatiga del material,24,24
Lavadoras de Pulpa,2108-05-05,2108-05-06 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,48,46
Refinadores,2108-06-24,2108-06-26 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,72,71
Prensas,2108-07-29,2108-07-31 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,48,50
Bombas,2108-09-07,2108-09-09 01:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,48,49
Tamices o Cribas,2108-10-07,2108-10-09 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,48,48
Digestores,2108-12-06,2108-12-06 14:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,12,14
Prensas,2109-01-10,2109-01-10 08:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,6,8
Prensas,2109-02-14,2109-02-14 12:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,12,12
Lavadoras de Pulpa,2109-03-31,2109-04-03 00:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,72,72
Refinadores,2109-05-20,2109-05-22 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,48,48
Prensas,2109-06-24,2109-06-24 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,4,4
Bombas,2109-08-03,2109-08-06 02:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Condiciones operativas extremas,72,74
Bombas,2109-09-12,2109-09-12 10:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,12,10
Prensas,2109-10-17,2109-10-17 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,6,5
Digestores,2109-12-16,2109-12-16 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,8,6
Refinadores,2110-02-04,2110-02-04 07:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,8,7
